NOMBRE_AVIF,CATEGORIA,DESCRIPCION_ALT
traje-bombero-estructural-nfpa-1971-modelo-frontal-10.avif,traje-modelo-masculino,"Bombero con traje estructural tan y reflejantes"
traje-bombero-estructural-nfpa-1971-modelo-frontal-11.avif,traje-modelo-masculino,"Traje bombero completo NFPA 1971 modelo latino"
traje-bombero-estructural-nfpa-1971-modelo-frontal-12.avif,traje-modelo-masculino,"Bombero profesional mexicano con traje estructural"
traje-bombero-estructural-nfpa-1971-modelo-caminando-01.avif,traje-modelo-masculino,"Bombero caminando con traje estructural NFPA 1971"
traje-bombero-estructural-nfpa-1971-modelo-frontal-13.avif,traje-modelo-masculino,"Traje bombero estructural vista completa frontal"
traje-bombero-estructural-nfpa-1971-modelo-frontal-14.avif,traje-modelo-masculino,"Bombero con bunker gear completo"
bombera-profesional-subiendo-camion-accion-01.avif,accion,"Bombera subiendo a camión de bomberos en acción"
traje-bombero-estructural-nfpa-1971-modelo-frontal-15.avif,traje-modelo-masculino,"Traje bombero estructural profesional México"
traje-bombero-estructural-nfpa-1971-modelo-frontal-16.avif,traje-modelo-masculino,"Bombero con traje NFPA 1971 cuerpo entero"
traje-bombero-estructural-nfpa-1971-modelo-frontal-17.avif,traje-modelo-masculino,"Traje bombero estructural certificado completo"
traje-bombero-estructural-nfpa-1971-modelo-frontal-18.avif,traje-modelo-masculino,"Bombero profesional con equipo estructural"
traje-bombero-estructural-nfpa-1971-modelo-frontal-19.avif,traje-modelo-masculino,"Traje bombero NFPA 1971 bandas reflectantes"
traje-bombero-estructural-nfpa-1971-modelo-frontal-20.avif,traje-modelo-masculino,"Bunker gear bombero vista frontal completa"
traje-bombero-estructural-nfpa-1971-modelo-frontal-21.avif,traje-modelo-masculino,"Turnout gear bombero profesional"
traje-bombero-estructural-nfpa-1971-modelo-frontal-22.avif,traje-modelo-masculino,"Traje bombero estructural color khaki con reflejantes"
traje-bombero-estructural-nfpa-1971-modelo-frontal-23.avif,traje-modelo-masculino,"Bombero con chaquetón y pantalón NFPA 1971"
traje-bombero-estructural-nfpa-1971-modelo-frontal-24.avif,traje-modelo-masculino,"Traje bombero estructural vista producto"
traje-bombero-estructural-nfpa-1971-modelo-frontal-25.avif,traje-modelo-masculino,"Bunker gear NFPA 1971 certificado"
certificacion-nfpa-1971-tejido-nomex-goretex-01.avif,certificacion,"Certificación NFPA 1971 tejido NOMEX IIIA GORE-TEX TPP 35"
certificacion-nfpa-1971-tejido-nomex-goretex-02.avif,certificacion,"Detalle capas tejido certificado NFPA 1971 bombero"
chaqueton-bombero-goretex-sistema-3-capas-detalle-01.avif,goretex-detalle,"Chaquetón bombero abierto mostrando sistema GORE-TEX 3 capas"
chaqueton-bombero-goretex-sistema-3-capas-detalle-02.avif,goretex-detalle,"Detalle interior chaquetón bombero con membrana GORE-TEX"
traje-bombero-estructural-nfpa-1971-modelo-frontal-26.avif,traje-modelo-masculino,"Bombero profesional con traje estructural completo"
traje-bombero-estructural-nfpa-1971-modelo-frontal-27.avif,traje-modelo-masculino,"Traje bombero NFPA 1971 con accesorios"
sistema-3-capas-traje-bombero-diagrama-01.avif,sistema-capas,"Diagrama sistema 3 capas traje bombero NFPA 1971"
sistema-3-capas-traje-bombero-diagrama-02.avif,sistema-capas,"Infografía sistema 3 capas chaquetón bombero estructural"
sistema-3-capas-traje-bombero-exploded-view-01.avif,sistema-capas,"Vista explosionada sistema 3 capas traje bombero"
sistema-3-capas-traje-bombero-exploded-view-02.avif,sistema-capas,"Capas separadas chaquetón bombero NOMEX GORE-TEX"
traje-bombero-estructural-nfpa-1971-modelo-frontal-28.avif,traje-modelo-masculino,"Traje bombero estructural color tan profesional"
traje-bombero-estructural-nfpa-1971-modelo-frontal-29.avif,traje-modelo-masculino,"Bombero con traje certificado NFPA 1971"
bombera-cdmx-retrato-casco-amarillo-01.avif,bombera,"Bombera CDMX con casco amarillo retrato profesional"
bombera-cdmx-retrato-casco-amarillo-02.avif,bombera,"Retrato bombera mexicana con casco y traje estructural"
traje-bombero-estructural-nfpa-1971-modelo-frontal-30.avif,traje-modelo-masculino,"Traje bombero estructural vista frontal modelo"
traje-bombero-estructural-nfpa-1971-modelo-frontal-31.avif,traje-modelo-masculino,"Bunker gear bombero profesional México"
traje-bombero-estructural-nfpa-1971-modelo-frontal-32.avif,traje-modelo-masculino,"Traje bombero NFPA 1971 vista completa"
traje-bombero-estructural-nfpa-1971-modelo-frontal-33.avif,traje-modelo-masculino,"Bombero con equipo estructural certificado"
bombera-profesional-vestidores-estacion-01.avif,bombera,"Bombera profesional en vestidores de estación"
bombera-profesional-vestidores-estacion-02.avif,bombera,"Bombera con traje estructural en estación de bomberos"
bombera-profesional-casco-mano-estudio-01.avif,bombera,"Bombera profesional con casco en mano fondo estudio"
bombera-profesional-casco-mano-estudio-02.avif,bombera,"Bombera mexicana con traje estructural y casco"
bombera-profesional-vestidores-lockers-01.avif,bombera,"Bombera profesional en vestidores con lockers rojos"
traje-bombero-estructural-nfpa-1971-modelo-frontal-34.avif,traje-modelo-masculino,"Traje bombero estructural completo modelo"
bombera-profesional-casco-mano-estudio-03.avif,bombera,"Bombera con casco amarillo en mano fondo oscuro"
traje-bombero-estructural-nfpa-1971-modelo-frontal-35.avif,traje-modelo-masculino,"Bombero profesional con traje NFPA 1971"
bombera-profesional-traje-estructural-estacion-03.avif,bombera,"Bombera con traje estructural completo en estación"
bombera-profesional-traje-estructural-estacion-04.avif,bombera,"Bombera mexicana con uniforme NFPA 1971"
